Postcode,Latitude,Longitude
EH4 6NS,55.97718087,-3.29954987
EH4 7NX,55.95924071,-3.28804016
EH40 3DP,55.98444831,-2.6566741
EH41 3NF,55.95692026,-2.77682496
EH42 1EE,55.99956016,-2.51290092
EH44 6QE,55.6160201,-3.06700236
EH45 8JG,55.65148328,-3.197851
EH46 7EX,55.75330612,-3.35321558
EH47 0SD,55.8670404,-3.68904021
EH47 9JD,55.82954678,-3.70421041
EH48 3QB,55.89959332,-3.69915601
EH49 7ER,55.97617981,-3.60763882
EH5 2LY,55.97522608,-3.23806181
EH5 3AH,55.9727678,-3.20136952
EH5 3EL,55.97621686,-3.20150851
EH51 0DQ,56.01204466,-3.61370026
EH51 9UE,56.00899244,-3.60106215
EH52 5LH,55.93287351,-3.48397651
EH53 0EW,55.89564108,-3.46251614
EH54 9JZ,55.8703016,-3.50712787
EH55 8EJ,55.84974709,-3.57834132
EH6 4EG,55.97785739,-3.18519727
EH6 4EG,55.97854352,-3.18299067
EH6 4NY,55.97495125,-3.18746396
EH6 5JA,55.97165739,-3.17488113
EH6 8HQ,55.97028337,-3.17102615
EH7 4AT,55.9608334,-3.18390791
EH7 5EG,55.95787543,-3.17470376
EH7 6UJ,55.95787479,-3.13156935
EH7 6UJ,55.96462285,-3.15672548
EH8 7RX,55.95456366,-3.14082597
EH8 9AL,55.94599354,-3.18814659
EH8 9DX,55.94545034,-3.18390274
EH8 9RD,55.94114302,-3.17674275
EH8 9RD,55.94119588,-3.17591182
EH8 9RU,55.94457526,-3.18145826
EH9 1AG,55.93510657,-3.193368
FK1 1BA,55.9977319,-3.78437488
FK1 3EZ,55.93663504,-3.83564672
FK1 4PP,56.0028882,-3.8158859
FK1 4PP,56.00289976,-3.81449117
FK10 3JQ,56.12470088,-3.7835744
FK10 4JA,56.1073187,-3.75113901
FK12 5BD,56.15193592,-3.80351189
FK13 6AG,56.15284042,-3.74681805
FK14 7AA,56.16229402,-3.67011059
FK16 6DU,56.19185161,-4.05243959
FK17 8LX,56.23806719,-4.19948308
FK2 0XF,55.98740621,-3.72185902
FK2 7AZ,56.00518321,-3.77616991
FK2 7ES,56.00320758,-3.78664807
FK2 7HR,56.00600989,-3.78488485
FK2 7TA,56.01562762,-3.79277244
FK21 8TQ,56.46654451,-4.31658134
FK3 8AN,56.01947181,-3.72036607
FK4 1ED,56.00435326,-3.89351626
FK5 3BB,56.02504905,-3.81829033
FK5 4HT,56.02744212,-3.81138996
FK6 6DB,56.02285298,-3.9088956
FK7 0HW,56.093664,-3.92178683
FK7 8DW,56.0646827,-3.87506093
FK8 3DZ,56.12527096,-4.17265237
FK8 3NB,56.11629078,-4.29786113
FK9 4NJ,56.14962615,-3.91749652
G11 5LL,55.87115878,-4.30990751
G11 5NG,55.8712211,-4.30562719
G11 5PE,55.87107536,-4.30477134
G12 8ED,55.87774125,-4.28855517
G12 8ND,55.87398396,-4.283746
G12 8SP,55.87418523,-4.29370129
G12 9JE,55.87856357,-4.3056469
G12 9LD,55.87906413,-4.300992
G12 9PN,55.87766491,-4.30660084
G13 2SW,55.89442504,-4.33859348
G13 2UP,55.891629880000004,-4.33196383
G13 4PU,55.89712527,-4.3703321
G14 0EA,55.88543437,-4.36227913
G14 0NT,55.8891637,-4.38142528
G14 0XT,55.88628234,-4.36117928
G14 9DR,55.87836605,-4.34840351
G14 9SS,55.88349803,-4.35733235
G14 9UT,55.87453009,-4.3393472
G14 9UU,55.87462186,-4.33972042
G14 9XL,55.87798687,-4.34849252
G15 6EG,55.90610745,-4.35516853
G15 7TS,55.9097567,-4.37107106
G20 6HS,55.87579447,-4.27187815
G20 7ER,55.87968158,-4.27114599
G20 7ER,55.87984214,-4.27169897
G20 8FB,55.88992166,-4.2927748
G21 3RW,55.89230885,-4.20141646
G21 4AH,55.87629288,-4.2274155
G22 5AP,55.881101,-4.25407269
G22 5SS,55.88544119,-4.25214963
G22 6BD,55.88687277,-4.23475407
G22 7JL,55.89874322,-4.24522649
G3 7UA,55.86676292,-4.28928376
G3 8ND,55.86440303,-4.28375887
G31 1QS,55.85792411,-4.21688815
G31 2ES,55.86301929,-4.22836548
G31 2XE,55.85870595,-4.22137504
G31 3BP,55.86320324,-4.21469586
G31 4UW,55.84906126,-4.19037506
G31 5RA,55.84980151,-4.19119954
G32 6JP,55.85926116,-4.19444878
G32 6NB,55.86163931,-4.16676055
G32 7JZ,55.85229958,-4.1699312
G32 8UH,55.84356985,-4.17163296
G33 1EY,55.8786907,-4.19450605
G33 3AL,55.86326923,-4.180819
G33 6EY,55.89161518,-4.14501789
G33 6HA,55.89123892,-4.14494915
G4 9BL,55.87123066,-4.27129185
G4 0UP,55.85903741,-4.2323561
G40 1HA,55.84812722,-4.22687387
G40 1HA,55.84811942,-4.22730475
