PracticeCode,Sex,Attribute,Value
25027,Male,Ages 45 to 64,1449
25027,Male,Ages 65 to 74,509
25027,Male,Ages 75 to 84,266
25027,Male,Ages 85 plus,74
25027,Female,Ages 0 to 4,228
25027,Female,Ages 5 to 14,596
25027,Female,Ages 15 to 24,518
25027,Female,Ages 25 to 44,1407
25027,Female,Ages 45 to 64,1453
25027,Female,Ages 65 to 74,537
25027,Female,Ages 75 to 84,360
25027,Female,Ages 85 plus,140
25031,Male,Ages 0 to 4,169
25031,Male,Ages 5 to 14,413
25031,Male,Ages 15 to 24,384
25031,Male,Ages 25 to 44,833
25031,Male,Ages 45 to 64,1017
25031,Male,Ages 65 to 74,344
25031,Male,Ages 75 to 84,193
25031,Male,Ages 85 plus,35
25031,Female,Ages 0 to 4,113
25031,Female,Ages 5 to 14,371
25031,Female,Ages 15 to 24,351
25031,Female,Ages 25 to 44,898
25031,Female,Ages 45 to 64,1055
25031,Female,Ages 65 to 74,365
25031,Female,Ages 75 to 84,228
25031,Female,Ages 85 plus,79
25046,Male,Ages 0 to 4,299
25046,Male,Ages 5 to 14,737
25046,Male,Ages 15 to 24,707
25046,Male,Ages 25 to 44,1594
25046,Male,Ages 45 to 64,1795
25046,Male,Ages 65 to 74,750
25046,Male,Ages 75 to 84,431
25046,Male,Ages 85 plus,111
25046,Female,Ages 0 to 4,260
25046,Female,Ages 5 to 14,727
25046,Female,Ages 15 to 24,719
25046,Female,Ages 25 to 44,1663
25046,Female,Ages 45 to 64,1905
25046,Female,Ages 65 to 74,816
25046,Female,Ages 75 to 84,567
25046,Female,Ages 85 plus,192
25051,Male,Ages 0 to 4,55
25051,Male,Ages 5 to 14,186
25051,Male,Ages 15 to 24,170
25051,Male,Ages 25 to 44,283
25051,Male,Ages 45 to 64,440
25051,Male,Ages 65 to 74,177
25051,Male,Ages 75 to 84,104
25051,Male,Ages 85 plus,35
25051,Female,Ages 0 to 4,44
25051,Female,Ages 5 to 14,181
25051,Female,Ages 15 to 24,182
25051,Female,Ages 25 to 44,310
25051,Female,Ages 45 to 64,482
25051,Female,Ages 65 to 74,158
25051,Female,Ages 75 to 84,139
25051,Female,Ages 85 plus,53
25065,Male,Ages 0 to 4,52
25065,Male,Ages 5 to 14,141
25065,Male,Ages 15 to 24,118
25065,Male,Ages 25 to 44,269
25065,Male,Ages 45 to 64,384
25065,Male,Ages 65 to 74,129
25065,Male,Ages 75 to 84,106
25065,Male,Ages 85 plus,29
25065,Female,Ages 0 to 4,41
25065,Female,Ages 5 to 14,123
25065,Female,Ages 15 to 24,133
25065,Female,Ages 25 to 44,259
25065,Female,Ages 45 to 64,402
25065,Female,Ages 65 to 74,143
25065,Female,Ages 75 to 84,115
25065,Female,Ages 85 plus,39
25070,Male,Ages 0 to 4,92
25070,Male,Ages 5 to 14,264
25070,Male,Ages 15 to 24,213
25070,Male,Ages 25 to 44,547
25070,Male,Ages 45 to 64,618
25070,Male,Ages 65 to 74,233
25070,Male,Ages 75 to 84,136
25070,Male,Ages 85 plus,39
25070,Female,Ages 0 to 4,79
25070,Female,Ages 5 to 14,213
25070,Female,Ages 15 to 24,190
25070,Female,Ages 25 to 44,572
25070,Female,Ages 45 to 64,612
25070,Female,Ages 65 to 74,267
25070,Female,Ages 75 to 84,168
25070,Female,Ages 85 plus,62
25084,Male,Ages 0 to 4,180
25084,Male,Ages 5 to 14,430
25084,Male,Ages 15 to 24,452
25084,Male,Ages 25 to 44,1058
25084,Male,Ages 45 to 64,1144
25084,Male,Ages 65 to 74,477
25084,Male,Ages 75 to 84,296
25084,Male,Ages 85 plus,78
25084,Female,Ages 0 to 4,155
25084,Female,Ages 5 to 14,423
25084,Female,Ages 15 to 24,396
25084,Female,Ages 25 to 44,1074
25084,Female,Ages 45 to 64,1178
25084,Female,Ages 65 to 74,549
25084,Female,Ages 75 to 84,355
25084,Female,Ages 85 plus,110
25099,Male,Ages 0 to 4,96
25099,Male,Ages 5 to 14,245
25099,Male,Ages 15 to 24,178
25099,Male,Ages 25 to 44,466
25099,Male,Ages 45 to 64,537
25099,Male,Ages 65 to 74,189
25099,Male,Ages 75 to 84,109
25099,Male,Ages 85 plus,19
25099,Female,Ages 0 to 4,84
25099,Female,Ages 5 to 14,235
25099,Female,Ages 15 to 24,166
25099,Female,Ages 25 to 44,543
25099,Female,Ages 45 to 64,507
25099,Female,Ages 65 to 74,215
25099,Female,Ages 75 to 84,136
25099,Female,Ages 85 plus,37
25101,Male,Ages 0 to 4,122
25101,Male,Ages 5 to 14,387
25101,Male,Ages 15 to 24,391
25101,Male,Ages 25 to 44,824
25101,Male,Ages 45 to 64,981
25101,Male,Ages 65 to 74,403
25101,Male,Ages 75 to 84,297
25101,Male,Ages 85 plus,99
25101,Female,Ages 0 to 4,96
25101,Female,Ages 5 to 14,360
25101,Female,Ages 15 to 24,348
25101,Female,Ages 25 to 44,740
25101,Female,Ages 45 to 64,1036
25101,Female,Ages 65 to 74,431
25101,Female,Ages 75 to 84,380
25101,Female,Ages 85 plus,135
25121,Male,Ages 0 to 4,81
25121,Male,Ages 5 to 14,243
25121,Male,Ages 15 to 24,216
25121,Male,Ages 25 to 44,481
25121,Male,Ages 45 to 64,719
25121,Male,Ages 65 to 74,316
25121,Male,Ages 75 to 84,176
25121,Male,Ages 85 plus,54
25121,Female,Ages 0 to 4,64
25121,Female,Ages 5 to 14,232
25121,Female,Ages 15 to 24,188
25121,Female,Ages 25 to 44,468
25121,Female,Ages 45 to 64,714
25121,Female,Ages 65 to 74,315
25121,Female,Ages 75 to 84,223
25121,Female,Ages 85 plus,85
25135,Male,Ages 0 to 4,104
25135,Male,Ages 5 to 14,345
25135,Male,Ages 15 to 24,338
25135,Male,Ages 25 to 44,814
25135,Male,Ages 45 to 64,1018
25135,Male,Ages 65 to 74,470
25135,Male,Ages 75 to 84,253
25135,Male,Ages 85 plus,70
25135,Female,Ages 0 to 4,121
25135,Female,Ages 5 to 14,341
25135,Female,Ages 15 to 24,323
25135,Female,Ages 25 to 44,821
25135,Female,Ages 45 to 64,1060
25135,Female,Ages 65 to 74,486
25135,Female,Ages 75 to 84,318
25135,Female,Ages 85 plus,116
25169,Male,Ages 0 to 4,169
25169,Male,Ages 5 to 14,386
25169,Male,Ages 15 to 24,386
25169,Male,Ages 25 to 44,810
25169,Male,Ages 45 to 64,866
25169,Male,Ages 65 to 74,330
25169,Male,Ages 75 to 84,168
25169,Male,Ages 85 plus,38
25169,Female,Ages 0 to 4,142
25169,Female,Ages 5 to 14,398
25169,Female,Ages 15 to 24,363
25169,Female,Ages 25 to 44,860
25169,Female,Ages 45 to 64,940
25169,Female,Ages 65 to 74,317
25169,Female,Ages 75 to 84,213
25169,Female,Ages 85 plus,78
25173,Male,Ages 0 to 4,108
25173,Male,Ages 5 to 14,324
25173,Male,Ages 15 to 24,316
25173,Male,Ages 25 to 44,679
25173,Male,Ages 45 to 64,799
25173,Male,Ages 65 to 74,265
25173,Male,Ages 75 to 84,143
25173,Male,Ages 85 plus,39
25173,Female,Ages 0 to 4,93
25173,Female,Ages 5 to 14,282
25173,Female,Ages 15 to 24,290
25173,Female,Ages 25 to 44,688
25173,Female,Ages 45 to 64,751
25173,Female,Ages 65 to 74,287
25173,Female,Ages 75 to 84,177
25173,Female,Ages 85 plus,62
25188,Male,Ages 0 to 4,313
25188,Male,Ages 5 to 14,603
25188,Male,Ages 15 to 24,555
25188,Male,Ages 25 to 44,1449
25188,Male,Ages 45 to 64,1442
25188,Male,Ages 65 to 74,504
25188,Male,Ages 75 to 84,296
25188,Male,Ages 85 plus,65
25188,Female,Ages 0 to 4,229
25188,Female,Ages 5 to 14,561
25188,Female,Ages 15 to 24,536
25188,Female,Ages 25 to 44,1550
25188,Female,Ages 45 to 64,1484
25188,Female,Ages 65 to 74,581
25188,Female,Ages 75 to 84,380
25188,Female,Ages 85 plus,90
25192,Male,Ages 0 to 4,93
25192,Male,Ages 5 to 14,287
25192,Male,Ages 15 to 24,308
25192,Male,Ages 25 to 44,585
25192,Male,Ages 45 to 64,726
25192,Male,Ages 65 to 74,257
25192,Male,Ages 75 to 84,150
25192,Male,Ages 85 plus,30
25192,Female,Ages 0 to 4,104
25192,Female,Ages 5 to 14,252
25192,Female,Ages 15 to 24,295
25192,Female,Ages 25 to 44,606
25192,Female,Ages 45 to 64,788
25192,Female,Ages 65 to 74,289
25192,Female,Ages 75 to 84,141
25192,Female,Ages 85 plus,54
25205,Male,Ages 0 to 4,179
25205,Male,Ages 5 to 14,456
25205,Male,Ages 15 to 24,484
25205,Male,Ages 25 to 44,1091
25205,Male,Ages 45 to 64,1183
25205,Male,Ages 65 to 74,465
25205,Male,Ages 75 to 84,240
25205,Male,Ages 85 plus,52
25205,Female,Ages 0 to 4,145
25205,Female,Ages 5 to 14,418
25205,Female,Ages 15 to 24,409
25205,Female,Ages 25 to 44,1048
25205,Female,Ages 45 to 64,1244
25205,Female,Ages 65 to 74,517
25205,Female,Ages 75 to 84,277
25205,Female,Ages 85 plus,115
25210,Male,Ages 0 to 4,66
25210,Male,Ages 5 to 14,309
25210,Male,Ages 15 to 24,401
25210,Male,Ages 25 to 44,410
25210,Male,Ages 45 to 64,857
25210,Male,Ages 65 to 74,321
25210,Male,Ages 75 to 84,233
25210,Male,Ages 85 plus,50
25210,Female,Ages 0 to 4,80
25210,Female,Ages 5 to 14,287
25210,Female,Ages 15 to 24,346
25210,Female,Ages 25 to 44,438
25210,Female,Ages 45 to 64,892
25210,Female,Ages 65 to 74,328
25210,Female,Ages 75 to 84,248
25210,Female,Ages 85 plus,83
25224,Male,Ages 0 to 4,87
25224,Male,Ages 5 to 14,247
25224,Male,Ages 15 to 24,241
25224,Male,Ages 25 to 44,519
25224,Male,Ages 45 to 64,600
25224,Male,Ages 65 to 74,234
25224,Male,Ages 75 to 84,163
25224,Male,Ages 85 plus,32
25224,Female,Ages 0 to 4,93
25224,Female,Ages 5 to 14,218
25224,Female,Ages 15 to 24,218
25224,Female,Ages 25 to 44,450
25224,Female,Ages 45 to 64,621
25224,Female,Ages 65 to 74,253
25224,Female,Ages 75 to 84,188
25224,Female,Ages 85 plus,49
25243,Male,Ages 0 to 4,185
25243,Male,Ages 5 to 14,664
25243,Male,Ages 15 to 24,747
25243,Male,Ages 25 to 44,1039
25243,Male,Ages 45 to 64,1585
25243,Male,Ages 65 to 74,537
25243,Male,Ages 75 to 84,402
25243,Male,Ages 85 plus,125
25243,Female,Ages 0 to 4,161
25243,Female,Ages 5 to 14,610
25243,Female,Ages 15 to 24,719
25243,Female,Ages 25 to 44,1014
25243,Female,Ages 45 to 64,1653
25243,Female,Ages 65 to 74,589
25243,Female,Ages 75 to 84,489
25243,Female,Ages 85 plus,214
25262,Male,Ages 0 to 4,168
25262,Male,Ages 5 to 14,397
25262,Male,Ages 15 to 24,426
25262,Male,Ages 25 to 44,1224
25262,Male,Ages 45 to 64,1165
25262,Male,Ages 65 to 74,364
25262,Male,Ages 75 to 84,237
25262,Male,Ages 85 plus,67
25262,Female,Ages 0 to 4,163
25262,Female,Ages 5 to 14,398
25262,Female,Ages 15 to 24,431
25262,Female,Ages 25 to 44,1103
25262,Female,Ages 45 to 64,1094
25262,Female,Ages 65 to 74,395
25262,Female,Ages 75 to 84,279
25262,Female,Ages 85 plus,102
25277,Male,Ages 0 to 4,57
25277,Male,Ages 5 to 14,133
25277,Male,Ages 15 to 24,128
25277,Male,Ages 25 to 44,368
25277,Male,Ages 45 to 64,428
25277,Male,Ages 65 to 74,138
25277,Male,Ages 75 to 84,84
25277,Male,Ages 85 plus,35
25277,Female,Ages 0 to 4,53
25277,Female,Ages 5 to 14,133
25277,Female,Ages 15 to 24,133
25277,Female,Ages 25 to 44,327
25277,Female,Ages 45 to 64,351
25277,Female,Ages 65 to 74,156
25277,Female,Ages 75 to 84,131
25277,Female,Ages 85 plus,67
25281,Male,Ages 0 to 4,210
25281,Male,Ages 5 to 14,498
25281,Male,Ages 15 to 24,552
25281,Male,Ages 25 to 44,1426
25281,Male,Ages 45 to 64,1575
25281,Male,Ages 65 to 74,604
25281,Male,Ages 75 to 84,352
25281,Male,Ages 85 plus,92
25281,Female,Ages 0 to 4,173
25281,Female,Ages 5 to 14,426
25281,Female,Ages 15 to 24,555
25281,Female,Ages 25 to 44,1330
25281,Female,Ages 45 to 64,1671
25281,Female,Ages 65 to 74,637
25281,Female,Ages 75 to 84,431
25281,Female,Ages 85 plus,171
25309,Male,Ages 0 to 4,108
25309,Male,Ages 5 to 14,298
25309,Male,Ages 15 to 24,282
25309,Male,Ages 25 to 44,726
25309,Male,Ages 45 to 64,870
25309,Male,Ages 65 to 74,304
25309,Male,Ages 75 to 84,171
25309,Male,Ages 85 plus,41
25309,Female,Ages 0 to 4,107
25309,Female,Ages 5 to 14,245
25309,Female,Ages 15 to 24,259
25309,Female,Ages 25 to 44,744
25309,Female,Ages 45 to 64,814
25309,Female,Ages 65 to 74,293
25309,Female,Ages 75 to 84,212
25309,Female,Ages 85 plus,82
25313,Male,Ages 0 to 4,143
25313,Male,Ages 5 to 14,406
25313,Male,Ages 15 to 24,446
25313,Male,Ages 25 to 44,1102
25313,Male,Ages 45 to 64,1222
25313,Male,Ages 65 to 74,363
25313,Male,Ages 75 to 84,273
25313,Male,Ages 85 plus,87
25313,Female,Ages 0 to 4,132
25313,Female,Ages 5 to 14,393
25313,Female,Ages 15 to 24,451
25313,Female,Ages 25 to 44,1004
25313,Female,Ages 45 to 64,1170
25313,Female,Ages 65 to 74,452
25313,Female,Ages 75 to 84,342
25313,Female,Ages 85 plus,153
25332,Male,Ages 0 to 4,128
25332,Male,Ages 5 to 14,352
25332,Male,Ages 15 to 24,361
25332,Male,Ages 25 to 44,882
25332,Male,Ages 45 to 64,1153
25332,Male,Ages 65 to 74,430
25332,Male,Ages 75 to 84,239
25332,Male,Ages 85 plus,68
25332,Female,Ages 0 to 4,107
25332,Female,Ages 5 to 14,374
25332,Female,Ages 15 to 24,375
25332,Female,Ages 25 to 44,894
25332,Female,Ages 45 to 64,1159
25332,Female,Ages 65 to 74,497
25332,Female,Ages 75 to 84,339
25332,Female,Ages 85 plus,142
25347,Male,Ages 0 to 4,74
25347,Male,Ages 5 to 14,251
25347,Male,Ages 15 to 24,262
25347,Male,Ages 25 to 44,443
25347,Male,Ages 45 to 64,692
25347,Male,Ages 65 to 74,297
25347,Male,Ages 75 to 84,203
25347,Male,Ages 85 plus,57
25347,Female,Ages 0 to 4,76
25347,Female,Ages 5 to 14,222
25347,Female,Ages 15 to 24,227
25347,Female,Ages 25 to 44,440
25347,Female,Ages 45 to 64,760
25347,Female,Ages 65 to 74,320
25347,Female,Ages 75 to 84,246
25347,Female,Ages 85 plus,89
25351,Male,Ages 0 to 4,27
25351,Male,Ages 5 to 14,75
25351,Male,Ages 15 to 24,63
25351,Male,Ages 25 to 44,202
25351,Male,Ages 45 to 64,239
25351,Male,Ages 65 to 74,116
25351,Male,Ages 75 to 84,61
25351,Male,Ages 85 plus,18
25351,Female,Ages 0 to 4,28
25351,Female,Ages 5 to 14,49
25351,Female,Ages 15 to 24,72
25351,Female,Ages 25 to 44,191
25351,Female,Ages 45 to 64,248
25351,Female,Ages 65 to 74,91
25351,Female,Ages 75 to 84,70
25351,Female,Ages 85 plus,24
25366,Male,Ages 0 to 4,48
25366,Male,Ages 5 to 14,123
25366,Male,Ages 15 to 24,104
25366,Male,Ages 25 to 44,217
25366,Male,Ages 45 to 64,341
25366,Male,Ages 65 to 74,167
25366,Male,Ages 75 to 84,106
25366,Male,Ages 85 plus,36
25366,Female,Ages 0 to 4,59
25366,Female,Ages 5 to 14,144
25366,Female,Ages 15 to 24,101
25366,Female,Ages 25 to 44,241
25366,Female,Ages 45 to 64,340
25366,Female,Ages 65 to 74,156
25366,Female,Ages 75 to 84,119
25366,Female,Ages 85 plus,37
25390,Male,Ages 0 to 4,146
25390,Male,Ages 5 to 14,406
25390,Male,Ages 15 to 24,391
25390,Male,Ages 25 to 44,746
25390,Male,Ages 45 to 64,905
25390,Male,Ages 65 to 74,276
25390,Male,Ages 75 to 84,209
25390,Male,Ages 85 plus,52
25390,Female,Ages 0 to 4,118
25390,Female,Ages 5 to 14,374
25390,Female,Ages 15 to 24,355
25390,Female,Ages 25 to 44,815
25390,Female,Ages 45 to 64,971
25390,Female,Ages 65 to 74,328
25390,Female,Ages 75 to 84,261
25390,Female,Ages 85 plus,77
25402,Male,Ages 0 to 4,175
25402,Male,Ages 5 to 14,357
25402,Male,Ages 15 to 24,219
25402,Male,Ages 25 to 44,727
25402,Male,Ages 45 to 64,691
25402,Male,Ages 65 to 74,240
25402,Male,Ages 75 to 84,138
25402,Male,Ages 85 plus,32
25402,Female,Ages 0 to 4,157
25402,Female,Ages 5 to 14,330
25402,Female,Ages 15 to 24,261
25402,Female,Ages 25 to 44,814
25402,Female,Ages 45 to 64,631
25402,Female,Ages 65 to 74,265
25402,Female,Ages 75 to 84,143
25402,Female,Ages 85 plus,46
25441,Male,Ages 0 to 4,213
25441,Male,Ages 5 to 14,485
25441,Male,Ages 15 to 24,384
25441,Male,Ages 25 to 44,1073
25441,Male,Ages 45 to 64,1086
25441,Male,Ages 65 to 74,365
25441,Male,Ages 75 to 84,268
25441,Male,Ages 85 plus,87
25441,Female,Ages 0 to 4,209
25441,Female,Ages 5 to 14,392
25441,Female,Ages 15 to 24,385
25441,Female,Ages 25 to 44,1163
25441,Female,Ages 45 to 64,1136
25441,Female,Ages 65 to 74,441
25441,Female,Ages 75 to 84,345
25441,Female,Ages 85 plus,129
25455,Male,Ages 0 to 4,182
25455,Male,Ages 5 to 14,576
25455,Male,Ages 15 to 24,537
25455,Male,Ages 25 to 44,1159
25455,Male,Ages 45 to 64,1360
25455,Male,Ages 65 to 74,524
25455,Male,Ages 75 to 84,297
25455,Male,Ages 85 plus,70
25455,Female,Ages 0 to 4,171
25455,Female,Ages 5 to 14,561
25455,Female,Ages 15 to 24,487
25455,Female,Ages 25 to 44,1154
25455,Female,Ages 45 to 64,1374
25455,Female,Ages 65 to 74,612
25455,Female,Ages 75 to 84,359
25455,Female,Ages 85 plus,114
25460,Male,Ages 0 to 4,290
25460,Male,Ages 5 to 14,783
25460,Male,Ages 15 to 24,652
25460,Male,Ages 25 to 44,1602
25460,Male,Ages 45 to 64,1640
25460,Male,Ages 65 to 74,578
25460,Male,Ages 75 to 84,279
25460,Male,Ages 85 plus,63
25460,Female,Ages 0 to 4,303
25460,Female,Ages 5 to 14,781
25460,Female,Ages 15 to 24,652
25460,Female,Ages 25 to 44,1619
25460,Female,Ages 45 to 64,1745
25460,Female,Ages 65 to 74,566
25460,Female,Ages 75 to 84,343
25460,Female,Ages 85 plus,121
25474,Male,Ages 0 to 4,53
25474,Male,Ages 5 to 14,134
25474,Male,Ages 15 to 24,147
25474,Male,Ages 25 to 44,267
25474,Male,Ages 45 to 64,299
25474,Male,Ages 65 to 74,116
25474,Male,Ages 75 to 84,53
25474,Male,Ages 85 plus,4
25474,Female,Ages 0 to 4,46
25474,Female,Ages 5 to 14,129
25474,Female,Ages 15 to 24,111
25474,Female,Ages 25 to 44,292
25474,Female,Ages 45 to 64,305
25474,Female,Ages 65 to 74,109
25474,Female,Ages 75 to 84,69
25474,Female,Ages 85 plus,16
25506,Male,Ages 0 to 4,169
25506,Male,Ages 5 to 14,363
25506,Male,Ages 15 to 24,419
25506,Male,Ages 25 to 44,959
25506,Male,Ages 45 to 64,957
25506,Male,Ages 65 to 74,435
25506,Male,Ages 75 to 84,231
25506,Male,Ages 85 plus,78
25506,Female,Ages 0 to 4,141
25506,Female,Ages 5 to 14,348
25506,Female,Ages 15 to 24,386
25506,Female,Ages 25 to 44,986
25506,Female,Ages 45 to 64,1072
25506,Female,Ages 65 to 74,455
25506,Female,Ages 75 to 84,299
25506,Female,Ages 85 plus,130
25525,Male,Ages 0 to 4,102
25525,Male,Ages 5 to 14,229
25525,Male,Ages 15 to 24,233
25525,Male,Ages 25 to 44,551
25525,Male,Ages 45 to 64,596
25525,Male,Ages 65 to 74,217
25525,Male,Ages 75 to 84,116
25525,Male,Ages 85 plus,20
25525,Female,Ages 0 to 4,71
25525,Female,Ages 5 to 14,239
25525,Female,Ages 15 to 24,249
25525,Female,Ages 25 to 44,531
25525,Female,Ages 45 to 64,682
25525,Female,Ages 65 to 74,253
25525,Female,Ages 75 to 84,161
25525,Female,Ages 85 plus,58
25544,Male,Ages 0 to 4,189
25544,Male,Ages 5 to 14,424
25544,Male,Ages 15 to 24,431
25544,Male,Ages 25 to 44,1038
25544,Male,Ages 45 to 64,1209
25544,Male,Ages 65 to 74,510
25544,Male,Ages 75 to 84,289
25544,Male,Ages 85 plus,67
25544,Female,Ages 0 to 4,167
25544,Female,Ages 5 to 14,420
25544,Female,Ages 15 to 24,398
25544,Female,Ages 25 to 44,1075
25544,Female,Ages 45 to 64,1201
25544,Female,Ages 65 to 74,589
25544,Female,Ages 75 to 84,345
25544,Female,Ages 85 plus,88
25559,Male,Ages 0 to 4,73
25559,Male,Ages 5 to 14,177
25559,Male,Ages 15 to 24,1460
25559,Male,Ages 25 to 44,2256
25559,Male,Ages 45 to 64,358
25559,Male,Ages 65 to 74,76
25559,Male,Ages 75 to 84,23
25559,Male,Ages 85 plus,3
25559,Female,Ages 0 to 4,69
25559,Female,Ages 5 to 14,173
25559,Female,Ages 15 to 24,2488
25559,Female,Ages 25 to 44,1070
25559,Female,Ages 45 to 64,323
25559,Female,Ages 65 to 74,78
25559,Female,Ages 75 to 84,25
25559,Female,Ages 85 plus,6
25582,Male,Ages 0 to 4,133
25582,Male,Ages 5 to 14,395
25582,Male,Ages 15 to 24,435
25582,Male,Ages 25 to 44,903
25582,Male,Ages 45 to 64,1133
25582,Male,Ages 65 to 74,420
25582,Male,Ages 75 to 84,280
25582,Male,Ages 85 plus,90
25582,Female,Ages 0 to 4,138
25582,Female,Ages 5 to 14,361
25582,Female,Ages 15 to 24,361
25582,Female,Ages 25 to 44,861
25582,Female,Ages 45 to 64,1198
25582,Female,Ages 65 to 74,454
25582,Female,Ages 75 to 84,354
25582,Female,Ages 85 plus,167
25597,Male,Ages 0 to 4,48
25597,Male,Ages 5 to 14,163
25597,Male,Ages 15 to 24,162
25597,Male,Ages 25 to 44,371
25597,Male,Ages 45 to 64,479
25597,Male,Ages 65 to 74,153
25597,Male,Ages 75 to 84,93
25597,Male,Ages 85 plus,21
25597,Female,Ages 0 to 4,56
25597,Female,Ages 5 to 14,156
25597,Female,Ages 15 to 24,178
25597,Female,Ages 25 to 44,391
25597,Female,Ages 45 to 64,500
25597,Female,Ages 65 to 74,172
25597,Female,Ages 75 to 84,129
25597,Female,Ages 85 plus,28
25648,Male,Ages 0 to 4,113
25648,Male,Ages 5 to 14,311
25648,Male,Ages 15 to 24,390
25648,Male,Ages 25 to 44,671
25648,Male,Ages 45 to 64,936
25648,Male,Ages 65 to 74,359
25648,Male,Ages 75 to 84,190
25648,Male,Ages 85 plus,56
25648,Female,Ages 0 to 4,116
25648,Female,Ages 5 to 14,330
25648,Female,Ages 15 to 24,372
25648,Female,Ages 25 to 44,710
25648,Female,Ages 45 to 64,1024
25648,Female,Ages 65 to 74,358
25648,Female,Ages 75 to 84,248
25648,Female,Ages 85 plus,80
25652,Male,Ages 0 to 4,94
25652,Male,Ages 5 to 14,239
25652,Male,Ages 15 to 24,298
25652,Male,Ages 25 to 44,615
25652,Male,Ages 45 to 64,621
25652,Male,Ages 65 to 74,147
25652,Male,Ages 75 to 84,72
25652,Male,Ages 85 plus,9
25652,Female,Ages 0 to 4,105
25652,Female,Ages 5 to 14,247
25652,Female,Ages 15 to 24,245
25652,Female,Ages 25 to 44,593
25652,Female,Ages 45 to 64,610
25652,Female,Ages 65 to 74,163
25652,Female,Ages 75 to 84,84
25652,Female,Ages 85 plus,44
25671,Male,Ages 0 to 4,178
25671,Male,Ages 5 to 14,410
25671,Male,Ages 15 to 24,341
25671,Male,Ages 25 to 44,791
25671,Male,Ages 45 to 64,774
25671,Male,Ages 65 to 74,224
25671,Male,Ages 75 to 84,145
25671,Male,Ages 85 plus,37
25671,Female,Ages 0 to 4,159
25671,Female,Ages 5 to 14,378
25671,Female,Ages 15 to 24,323
25671,Female,Ages 25 to 44,875
25671,Female,Ages 45 to 64,781
25671,Female,Ages 65 to 74,261
25671,Female,Ages 75 to 84,184
25671,Female,Ages 85 plus,45
25686,Male,Ages 0 to 4,104
25686,Male,Ages 5 to 14,241
25686,Male,Ages 15 to 24,205
25686,Male,Ages 25 to 44,536
25686,Male,Ages 45 to 64,485
25686,Male,Ages 65 to 74,145
25686,Male,Ages 75 to 84,74
25686,Male,Ages 85 plus,35
25686,Female,Ages 0 to 4,86
25686,Female,Ages 5 to 14,232
25686,Female,Ages 15 to 24,182
25686,Female,Ages 25 to 44,625
25686,Female,Ages 45 to 64,507
25686,Female,Ages 65 to 74,129
25686,Female,Ages 75 to 84,87
25686,Female,Ages 85 plus,79
25737,Male,Ages 0 to 4,221
25737,Male,Ages 5 to 14,516
25737,Male,Ages 15 to 24,498
25737,Male,Ages 25 to 44,1617
25737,Male,Ages 45 to 64,1376
25737,Male,Ages 65 to 74,432
25737,Male,Ages 75 to 84,276
25737,Male,Ages 85 plus,87
25737,Female,Ages 0 to 4,224
25737,Female,Ages 5 to 14,512
25737,Female,Ages 15 to 24,514
25737,Female,Ages 25 to 44,1545
25737,Female,Ages 45 to 64,1296
25737,Female,Ages 65 to 74,493
25737,Female,Ages 75 to 84,398
25737,Female,Ages 85 plus,132
25898,Male,Ages 0 to 4,32
25898,Male,Ages 5 to 14,78
25898,Male,Ages 15 to 24,88
25898,Male,Ages 25 to 44,168
25898,Male,Ages 45 to 64,251
25898,Male,Ages 65 to 74,91
25898,Male,Ages 75 to 84,57
25898,Male,Ages 85 plus,16
25898,Female,Ages 0 to 4,23
25898,Female,Ages 5 to 14,88
25898,Female,Ages 15 to 24,95
25898,Female,Ages 25 to 44,155
25898,Female,Ages 45 to 64,263
25898,Female,Ages 65 to 74,85
25898,Female,Ages 75 to 84,60
25898,Female,Ages 85 plus,27
25968,Male,Ages 0 to 4,29
25968,Male,Ages 5 to 14,108
25968,Male,Ages 15 to 24,121
25968,Male,Ages 25 to 44,243
25968,Male,Ages 45 to 64,358
25968,Male,Ages 65 to 74,186
25968,Male,Ages 75 to 84,76
25968,Male,Ages 85 plus,18
25968,Female,Ages 0 to 4,36
25968,Female,Ages 5 to 14,99
25968,Female,Ages 15 to 24,131
25968,Female,Ages 25 to 44,256
25968,Female,Ages 45 to 64,404
25968,Female,Ages 65 to 74,150
25968,Female,Ages 75 to 84,97
25968,Female,Ages 85 plus,37
25991,Male,Ages 0 to 4,79
25991,Male,Ages 5 to 14,199
25991,Male,Ages 15 to 24,197
25991,Male,Ages 25 to 44,422
25991,Male,Ages 45 to 64,513
25991,Male,Ages 65 to 74,181
25991,Male,Ages 75 to 84,109
25991,Male,Ages 85 plus,33
25991,Female,Ages 0 to 4,87
25991,Female,Ages 5 to 14,190
25991,Female,Ages 15 to 24,189
25991,Female,Ages 25 to 44,440
25991,Female,Ages 45 to 64,530
25991,Female,Ages 65 to 74,183
25991,Female,Ages 75 to 84,104
25991,Female,Ages 85 plus,52
26015,Male,Ages 0 to 4,737
26015,Male,Ages 5 to 14,1539
26015,Male,Ages 15 to 24,1582
26015,Male,Ages 25 to 44,4065
26015,Male,Ages 45 to 64,4143
26015,Male,Ages 65 to 74,1314
26015,Male,Ages 75 to 84,771
26015,Male,Ages 85 plus,209
26015,Female,Ages 0 to 4,703
26015,Female,Ages 5 to 14,1448
26015,Female,Ages 15 to 24,1489
26015,Female,Ages 25 to 44,3997
26015,Female,Ages 45 to 64,3943
