PracticeCode,Sex,Attribute,Value
10361,Female,Ages 15 to 24,525
10361,Female,Ages 25 to 44,1177
10361,Female,Ages 45 to 64,1649
10361,Female,Ages 65 to 74,689
10361,Female,Ages 75 to 84,472
10361,Female,Ages 85 plus,204
10407,Male,Ages 0 to 4,138
10407,Male,Ages 5 to 14,381
10407,Male,Ages 15 to 24,355
10407,Male,Ages 25 to 44,836
10407,Male,Ages 45 to 64,998
10407,Male,Ages 65 to 74,569
10407,Male,Ages 75 to 84,430
10407,Male,Ages 85 plus,131
10407,Female,Ages 0 to 4,137
10407,Female,Ages 5 to 14,375
10407,Female,Ages 15 to 24,290
10407,Female,Ages 25 to 44,822
10407,Female,Ages 45 to 64,1075
10407,Female,Ages 65 to 74,611
10407,Female,Ages 75 to 84,508
10407,Female,Ages 85 plus,226
10445,Male,Ages 0 to 4,74
10445,Male,Ages 5 to 14,216
10445,Male,Ages 15 to 24,154
10445,Male,Ages 25 to 44,491
10445,Male,Ages 45 to 64,508
10445,Male,Ages 65 to 74,276
10445,Male,Ages 75 to 84,141
10445,Male,Ages 85 plus,52
10445,Female,Ages 0 to 4,79
10445,Female,Ages 5 to 14,186
10445,Female,Ages 15 to 24,135
10445,Female,Ages 25 to 44,488
10445,Female,Ages 45 to 64,501
10445,Female,Ages 65 to 74,265
10445,Female,Ages 75 to 84,155
10445,Female,Ages 85 plus,96
10498,Male,Ages 0 to 4,182
10498,Male,Ages 5 to 14,448
10498,Male,Ages 15 to 24,472
10498,Male,Ages 25 to 44,1069
10498,Male,Ages 45 to 64,1240
10498,Male,Ages 65 to 74,538
10498,Male,Ages 75 to 84,285
10498,Male,Ages 85 plus,106
10498,Female,Ages 0 to 4,171
10498,Female,Ages 5 to 14,469
10498,Female,Ages 15 to 24,423
10498,Female,Ages 25 to 44,1023
10498,Female,Ages 45 to 64,1210
10498,Female,Ages 65 to 74,493
10498,Female,Ages 75 to 84,371
10498,Female,Ages 85 plus,188
10638,Male,Ages 0 to 4,200
10638,Male,Ages 5 to 14,666
10638,Male,Ages 15 to 24,713
10638,Male,Ages 25 to 44,1408
10638,Male,Ages 45 to 64,1749
10638,Male,Ages 65 to 74,871
10638,Male,Ages 75 to 84,592
10638,Male,Ages 85 plus,163
10638,Female,Ages 0 to 4,221
10638,Female,Ages 5 to 14,684
10638,Female,Ages 15 to 24,624
10638,Female,Ages 25 to 44,1479
10638,Female,Ages 45 to 64,1885
10638,Female,Ages 65 to 74,932
10638,Female,Ages 75 to 84,689
10638,Female,Ages 85 plus,231
10708,Male,Ages 0 to 4,29
10708,Male,Ages 5 to 14,127
10708,Male,Ages 15 to 24,120
10708,Male,Ages 25 to 44,222
10708,Male,Ages 45 to 64,370
10708,Male,Ages 65 to 74,222
10708,Male,Ages 75 to 84,141
10708,Male,Ages 85 plus,66
