Source, Lat, Long
Camera 308 Murraygate, 56.4625,-2.9686
Camera 310 Seagate, 56.4633,-2.9662
Camera 317 Reform St, 56.4616,-2.9715
Camera 320 Westport,56.4594,-2.9786
Camera 323 Union Street,56.4588,-2.9706
Camera 328 South Marketgait,56.4597,-2.9672
Camera 331 Railway Station,56.4578,-2.9694
Camera 332 Waterfront, 56.4583,-2.9644
Camera 500 Hilltown,56.4678,-2.9733
