Platform / area,Title,URL,ID
Tableau,Tableau for beginners (session 1),https://nes-dew.github.io/KIND-training/tableau/KIND_TfB_s01.html,KT01
Tableau,Tableau for beginners (session 2),https://nes-dew.github.io/KIND-training/tableau/KIND_TfB_s02.html,KT02
Tableau,Tableau for beginners (session 3),https://nes-dew.github.io/KIND-training/tableau/KIND_TfB_s03.html,KT03
Tableau,Tableau for beginners (session 4),https://nes-dew.github.io/KIND-training/tableau/KIND_TfB_s04.html,KT04
Skills,An introduction to SQL,,KS14
Skills,Getting data into SQL,,KS15
Skills,Filtering and aggregating data with SQL,,KS16
Skills,SQL joins,,KS17
Skills,R and SQL,,KS18
Skills,Presenting like a Person (session 1),https://nes-dew.github.io/KIND-training/skills/developing_presentations.html,KS19
Skills,Presenting like a Person (session 2),https://nes-dew.github.io/KIND-training/skills/developing_presentations.html,KS20
Skills,Presenting like a Person (session 3),https://nes-dew.github.io/KIND-training/skills/developing_presentations.html,KS21
Skills,Presenting like a Person (session 4),https://nes-dew.github.io/KIND-training/skills/developing_presentations.html,KS22
